H2O2	OO
OH	[OH]
H2	[H][H]
H	[H]
O	[O]
H2O	O
HO2	[O]O
O2	[O][O]
AR	[Ar]
N2	N#N
HE	[He]
OHV	[OH]
CO	[C]=O
CO2	O=C=O
CH4	C
CH3	[CH3]
C	[C]
CH	[CH]
CHV	[CH]
CH3OH	CO
C2H6	CC
C2H5	C[CH2]
C2H4	C=C
C2H	[C]#C
C3H8	CCC
C2H2	C#C
CH3OCH3	COC
O3	[O-][O+]=O
N	[N]
NO2	O=N[O]
C4H6O2-1OOH4	[O]CC=CCOO	! Confirmed by alongd
NEOC5H11O	CC(C)(C)C[O]	! Confirmed by alongd
C5H10OOH2-4	C[CH]CC(C)OO	! Confirmed by alongd
IC5KETCBO	CC(=O)C(C)(C)[O]	! Confirmed by alongd
C4H64,2-1OH	C=C[CH]CO	! Confirmed by alongd
IC5KETDCO	CC(C)C([O])C=O	! Confirmed by alongd
IC4H8O2H-I	[CH2]C(C)COO	! Confirmed by alongd
NC52ONEO2-5	CC(=O)CCCO[O]	! Confirmed by alongd
NC52ONEO2-4	CC(=O)CC(C)O[O]	! Confirmed by alongd
CH3CHCOC2H5	C[CH]C(=O)CC	! Confirmed by alongd
NC5KET23O	CCC([O])C(C)=O	! Confirmed by alongd
CCYCCOOC-I2	CC1[CH]OOC1	! Confirmed by alongd
CVCCVCCJVO	C=CC=C[C]=O	! Confirmed by alongd
NC5KET32	CCC(=O)C(C)OO	! Confirmed by alongd
NC4KET23	CC(=O)C(C)OO	! Confirmed by alongd
C2HCHO	C#CC=O	! Confirmed by alongd
NC4KET21	CCC(=O)COO	! Confirmed by alongd
NC4KET24	CC(=O)CCOO	! Confirmed by alongd
HO2CH2CHO	O=CCOO	! Confirmed by alongd
IC4KETIT	CC(C)(C=O)OO	! Confirmed by alongd
C3H52-1,3OOH	OOC[CH]COO	! Confirmed by alongd
C8H132-6,PAO	CC=CCCC=CC[O]	! Confirmed by alongd
NC4KET14	O=CCCCOO	! Confirmed by alongd
NC4KET12	CCC(C=O)OO	! Confirmed by alongd
NC4KET13	CC(CC=O)OO	! Confirmed by alongd
CH3OCH2O2	COCO[O]	! Confirmed by alongd
DC5H10OOH-B	C[C](C)CCOO	! Confirmed by alongd
C2H5COCH2	[CH2]C(=O)CC	! Confirmed by alongd
CH3CHCOCH3	CC=C(C)[O]	! Confirmed by alongd
NEOC5H11O2H	CC(C)(C)COO	! Confirmed by alongd
OCH2CHO	[O]CC=O	! Confirmed by alongd
C5H9O1-2O-5	[O]CCCC1CO1	! Confirmed by alongd
CH3NO	CN=O	! Confirmed by alongd
CH2CH2OCH2CH2CHO	[O]C1CCOCC1	! Confirmed by alongd
DC5H10OOH-CO2	CC(C)C(COO)O[O]	! Confirmed by alongd
CH2O2H	[CH2]OO	! Confirmed by alongd
HOCO	O=[C]O	! Confirmed by alongd
CC5H10OOH-AO2	CC(CO[O])C(C)OO	! Confirmed by alongd
DC5H10OOH-AO2	CC(CCOO)CO[O]	! Confirmed by alongd
C5H10OH-5O2	[O]OCCCCCO	! Confirmed by alongd
HOCH2O2H	OCOO	! Confirmed by alongd
AC5H10OOH-AO2	CCC(CO[O])COO	! Confirmed by alongd
CCYCCO-T1	C[C]1CO1	! Confirmed by alongd
AC5H10OOH-CO2	CC(COO)C(C)O[O]	! Confirmed by alongd
NEOC5H12	CC(C)(C)C	! Confirmed by alongd
C5H9OH1-4	C=CCCCO	! Confirmed by alongd
TQC4H8OI	CC(C)(C[O])OO	! Confirmed by alongd
CC5H10OOH-BO2	CC(OO)C(C)(C)O[O]	! Confirmed by alongd
DC5H10OOH-BO2	CC(C)(CCOO)O[O]	! Confirmed by alongd
CH2COHCHO	C=C(O)C=O	! Confirmed by alongd
NC53ONE-1	C=CC(=O)CC	! Confirmed by alongd
IC4H8OH	[CH2]C(C)CO	! Confirmed by alongd
BC5H10OOH-AO2	CCC(C)(CO[O])OO	! Confirmed by alongd
IIC4H7Q2-I	[CH2]C(COO)COO	! Confirmed by alongd
C4H71-1O2	CCC=CO[O]	! Confirmed by alongd
CH3CO3	CC(=O)O[O]	! Confirmed by alongd
CH3CO2	CC([O])=O	! Confirmed by alongd
IC4H8OOH-IO2	CC(CO[O])COO	! Confirmed by alongd
NEOC5H11O2	CC(C)(C)CO[O]	! Confirmed by alongd
C5H9A-COOH	C=C(C)C(C)OO	! Confirmed by alongd
C5H9A-DOOH	C=C(C)CCOO	! Confirmed by alongd
C3H5O1-2OOH-3	OOCC1CO1	! Confirmed by alongd
C4H71-2O2	C=C(CC)O[O]	! Confirmed by alongd
C5H9A-B,DOOH	[CH2]C(C)(CCOO)OO	! Confirmed by alongd
C5H9A-B,COOH	[CH2]C(C)(OO)C(C)OO	! Confirmed by alongd
C5H9OA-DOOH-B	CC1(CCOC1)OO	! Confirmed by alongd
CH2CHOOHCOCH3	[CH2]C(OO)C(C)=O	! Confirmed by alongd
C2H5COCH3	CCC(C)=O	! Confirmed by alongd
CJVCCVCCVO	[CH]=CC=CC=O	! Confirmed by alongd
CH3CO3H	CC(=O)OO	! Confirmed by alongd
NC5CYCPER13	CCC1CC(O)OO1	! Confirmed by alongd
CH2COHCO	C=C(O)[C]=O	! Confirmed by alongd
NEOC5H11	[CH2]C(C)(C)C	! Confirmed by alongd
NC5CYCPER31	CCC1(O)CCOO1	! Confirmed by alongd
C5H91-2,4OOH	[CH2]C(CC(C)OO)OO	! Confirmed by alongd
C5H9D-A,BOOH	[CH2]CC(C)(COO)OO	! Confirmed by alongd
NC5KET31O	CCC(=O)CC[O]	! Confirmed by alongd
CH3CHOOCOCH3	CC(=O)C(C)O[O]	! Confirmed by alongd
IC5KETCAO	CC(=O)C(C)C[O]	! Confirmed by alongd
PC4H8CHO-1	CCC[CH]C=O	! Confirmed by alongd
C5H10OOH1-5O2	[O]OCCCCCOO	! Confirmed by alongd
AC5H10OOH-D	[CH2]CC(C)COO	! Confirmed by alongd
PC3H4OH-3	C=C[CH]O	! Confirmed by alongd
C5H9B-A,COOH	C[C](COO)C(C)OO	! Confirmed by alongd
C4H8OOH2-4	[CH2]CC(C)OO	! Confirmed by alongd
C5H93-1,5OOH	OOCC[CH]CCOO	! Confirmed by alongd
C5H9O1-3OOH-4	CC(OO)C1CCO1	! Confirmed by alongd
IC4H6OOH-I	[CH2]C(=C)COO	! Confirmed by alongd
IC4H8OOH-TO2	CC(C)(COO)O[O]	! Confirmed by alongd
PC4H8CHO-2	CC[CH]CC=O	! Confirmed by alongd
C2H3O1-2	[CH]1CO1	! Confirmed by alongd
NC53ONEO2-2	CCC(=O)C(C)O[O]	! Confirmed by alongd
C5H10OH12	CCC[CH]CO	! Confirmed by alongd
C5H10OH13	CC[CH]CCO	! Confirmed by alongd
C5H9B-A,DOOH	C[C](CCOO)COO	! Confirmed by alongd
C5H9OA-COOH-B	CC1OCC1(C)OO	! Confirmed by alongd
C5H9OB-COOH-A	CC1OC1(C)COO	! Confirmed by alongd
CH3COCHOH	CC([O])=CO	! Confirmed by alongd
A-CC5H10O	CC1COC1C	! Confirmed by alongd
C4H72-2O2	CC=C(C)O[O]	! Confirmed by alongd
NEO-C5H10O	CC1(C)COC1	! Confirmed by alongd
C5H9B-C,DOOH	C[C](C)C(COO)OO	! Confirmed by alongd
C5H9A-C,DOOH	[CH2]C(C)C(COO)OO	! Confirmed by alongd
C5H10OH-4O2	CC(CCCO)O[O]	! Confirmed by alongd
C4H72-1OH	CC=CCO	! Confirmed by alongd
C7H111-5,1P	[CH]=CCCC=CC	! Confirmed by alongd
C5H9C-AOOH	C=CC(C)COO	! Confirmed by alongd
C5H9B-A,AOOH	CC[C](COO)COO	! Confirmed by alongd
C5H10OH11	CCCC[CH]O	! Confirmed by alongd
O-C6H4O2	O=C1C=CC=CC1=O	! Confirmed by alongd
P-C6H4O2	O=C1C=CC(=O)C=C1	! Confirmed by alongd
C3H6OOH1-3O2	[O]OCCCOO	! Confirmed by alongd
B2E3M1OJ	CC(C)=CC[O]	! Confirmed by alongd
C5H9D-A,AOOH	[CH2]CC(COO)COO	! Confirmed by alongd
CVCYCCOC	C=C1COC1	! Confirmed by alongd

C4H4O	C1C=COC=1	! Confirmed by alongd
AC3H5CHO	C=CCC=O	! Confirmed by alongd
C2H4OCHO	CC([O])C=O	! Confirmed by alongd
OCH2O2H	[O]COO	! Confirmed by alongd
C3H2C	[C]1C=C1	! Confirmed by alongd
CH3ONO	CON=O	! Confirmed by alongd
PC4H8CHO-3	C[CH]CCC=O	! Confirmed by alongd
CC5H10OOH-DO2	CC(C)C(CO[O])OO	! Confirmed by alongd
AC5H10OOH-DO2	CC(CCO[O])COO	! Confirmed by alongd
C5H9D-A,COOH	[CH2]C(OO)C(C)COO	! Confirmed by alongd
C5H9B-DOOH	CC(C)=CCOO	! Confirmed by alongd
C5H9OA-BOOH-D	CC1(CCOO)CO1	! Confirmed by alongd
C5H9OB-DOOH-A	CC1(CCO1)COO	! Confirmed by alongd
C4H63,1-1OH	CC=C[CH]O	! Confirmed by alongd
C5H9C-A,DOOH	CC([CH]COO)COO	! Confirmed by alongd
C5H9A-A,DOOH	[CH2]C(CCOO)COO	! Confirmed by alongd
C4H71-1OH	CCC=CO	! Confirmed by alongd
CH3CHCO	CC=C=O	! Confirmed by alongd
O-OC6H5OJ	[O]C1C=CC=CC1=O	! Confirmed by alongd
C5H9OB-COOH-D	CC1(C)OC1COO	! Confirmed by alongd
C5H9OA-AOOH-D	OOCCC1COC1	! Confirmed by alongd
C5H9A-A,COOH	[CH2]C(COO)C(C)OO	! Confirmed by alongd
C5H9B-AOOH	CC=C(C)COO	! Confirmed by alongd
C5H9A-AOOH	C=C(CC)COO	! Confirmed by alongd
IC5KETCB	CC(=O)C(C)(C)OO	! Confirmed by alongd
PC4H8OH-2	CC[CH]CO	! Confirmed by alongd
NC5KET15	O=CCCCCOO	! Confirmed by alongd
BC5H10OOH-CO2	CC(O[O])C(C)(C)OO	! Confirmed by alongd
IC5KETDC	CC(C)C(C=O)OO	! Confirmed by alongd
IC5KETDA	CC(CC=O)COO	! Confirmed by alongd
IC5KETAD	CC(C=O)CCOO	! Confirmed by alongd
BC5H10OOH-DO2	CC(C)(CCO[O])OO	! Confirmed by alongd
TC4H8OOH-IO2	CC(C)(CO[O])OO	! Confirmed by alongd
L-C6H4	C#CC#CC=C	! Confirmed by alongd
CH3OCH2O2H	COCOO	! Confirmed by alongd
IC5KETCA	CC(=O)C(C)COO	! Confirmed by alongd
IC5KETDB	CC(C)(CC=O)OO	! Confirmed by alongd
NC5KET21	CCCC(=O)COO	! Confirmed by alongd
NC5KET23	CCC(OO)C(C)=O	! Confirmed by alongd
C4H71-4OH	C=CCCO	! Confirmed by alongd
P-C6H3O2	O=C1[C]=CC(=O)C=C1	! Confirmed by alongd
BC5H10OOH-C	C[CH]C(C)(C)OO	! Confirmed by alongd
HOCH2O2	[O]OCO	! Confirmed by alongd
CH3CHCHO	CC=C[O]	! Confirmed by alongd
C5H9OB-DOOH-C	CC1(C)OCC1OO	! Confirmed by alongd
C5H9D-B,COOH	[CH2]C(OO)C(C)(C)OO	! Confirmed by alongd
AC5H10OOH-BO2	CCC(C)(COO)O[O]	! Confirmed by alongd
C5H9C-B,DOOH	CC(C)([CH]COO)OO	! Confirmed by alongd
C5H9C-BOOH	C=CC(C)(C)OO	! Confirmed by alongd
C5H9OC-DOOH-A	CC(COO)C1CO1	! Confirmed by alongd
C5H9OA-DOOH-C	CC1COCC1OO	! Confirmed by alongd
C5H9OA-COOH-D	CC1COC1COO	! Confirmed by alongd
C5H9O2-3OOH-5	CC1OC1CCOO	! Confirmed by alongd
C5H9OA-DOOH-A	OOCC1CCOC1	! Confirmed by alongd
C5H9A-A,BOOH	[CH2]C(CC)(COO)OO	! Confirmed by alongd
CH3COCHO	CC(=O)C=O	! Confirmed by alongd
C5H9OA-AOOH-C	CC(OO)C1COC1	! Confirmed by alongd
C5H9OA-AOOH-B	CCC1(COC1)OO	! Confirmed by alongd
B-CC5H10O	CC1OC1(C)C	! Confirmed by alongd
C5H9OA-COOH-A	CC1OCC1COO	! Confirmed by alongd
P-OC6H5OJ	[O]C1C=CC(=O)C=C1	! Confirmed by alongd
C5H10OOH1-3	CC[CH]CCOO	! Confirmed by alongd
PC4H8OH-3	C[CH]CCO	! Confirmed by alongd
NC5KET12O	CCCC([O])C=O	! Confirmed by alongd
A-AC5H10O	CCC1COC1	! Confirmed by alongd
NC5KET32O	CCC(=O)C(C)[O]	! Confirmed by alongd
TC3H6OH	C[C](C)O	! Confirmed by alongd
CH3ONO2	CO[N+](=O)[O-]	! Confirmed by alongd
NEOC5KET	CC(C)(C=O)COO	! Confirmed by alongd
C5H10OOH3-1	[CH2]CC(CC)OO	! Confirmed by alongd
C5H10O2-4	CC1CC(C)O1	! Confirmed by alongd
SC4H8OH-1	[CH2]C(O)CC	! Confirmed by alongd
NEOC5H10OOH-O2	CC(C)(CO[O])COO	! Confirmed by alongd
B-DC5H10O	CC1(C)CCO1	! Confirmed by alongd
IQJC4H8OH	CC(C)(O)CO[O]	! Confirmed by alongd
CVCCJCVCOH	[CH2]C=CC=CO	! Confirmed by alongd
CC4H8O	CC1COC1	! Confirmed by alongd
HO2CH2OCHO	O=COCOO	! Confirmed by alongd
CH2OCH2O2H	[CH2]OCOO	! Confirmed by alongd
PQC4H8OS	CCC([O])COO	! Confirmed by alongd
IC5KETAA	CCC(C=O)COO	! Confirmed by alongd
IC5KETAB	CCC(C)(C=O)OO	! Confirmed by alongd
IC5KETAC	CC(C=O)C(C)OO	! Confirmed by alongd
C4H	[C]#CC#C	! Confirmed by alongd
PC4H8CHO-2O2	CCC(CC=O)O[O]	! Confirmed by alongd
PC4H8CHO-3O2	CC(CCC=O)O[O]	! Confirmed by alongd
PC4H8CHO-4O2	[O]OCCCCC=O	! Confirmed by alongd
IC4KETII	CC(C=O)COO	! Confirmed by alongd
C5H10OH-3O2	CCC(CCO)O[O]	! Confirmed by alongd

IC5KETACO	CC([O])C(C)C=O	! Confirmed by alongd
BC5H10OOH-D	[CH2]CC(C)(C)OO	! Confirmed by alongd
NEOC5H10OOH	[CH2]C(C)(C)COO	! Confirmed by alongd
C5H10OOH2-4O2	CC(CC(C)OO)O[O]	! Confirmed by alongd
C5H10O1-3	CCC1CCO1	! Confirmed by alongd
C4H7CHO-3	CC=CCC=O	! Confirmed by alongd
NC52ONE-3	CC=CC(C)=O	! Confirmed by alongd
NC52ONE-4	C=CCC(C)=O	! Confirmed by alongd
C4H7CHO-4	C=CCCC=O	! Confirmed by alongd
C4H7CHO-2	CCC=CC=O	! Confirmed by alongd
TQC4H7OHIO2	CC(C)(OO)C(O)O[O]	! Confirmed by alongd
SC4H8OH-3O2	CC(O)C(C)O[O]	! Confirmed by alongd
SC4H8OH-2	CC[C](C)O	! Confirmed by alongd
CH3COCH2OCH2CH2	CC1([O])CCOC1	! Confirmed by alongd
C5H10OH-1O2	CCCCC(O)O[O]	! Confirmed by alongd
C5H10OH-2O2	CCCC(CO)O[O]	! Confirmed by alongd
IC5KETAAO	CCC(C=O)C[O]	! Confirmed by alongd
C2H3CHOCH2	C=CC1CO1	! Confirmed by alongd
C5H9C-A,BOOH	C[CH]C(C)(COO)OO	! Confirmed by alongd
IC4H8O	CC1(C)CO1	! Confirmed by alongd
CHOIC3H6O	CC(C=O)C[O]	! Confirmed by alongd
TC4H8CHO	[CH2]C(C)(C)C=O	! Confirmed by alongd
C5H9C-A,AOOH	C[CH]C(COO)COO	! Confirmed by alongd
PC4H8OH-2O2	CCC(CO)O[O]	! Confirmed by alongd
PC4H8CHO-1O2	CCCC(C=O)O[O]	! Confirmed by alongd
C5H9OA-BOOH-C	CC(OO)C1(C)CO1	! Confirmed by alongd
C5H9OC-DOOH-B	CC(C)(OO)C1CO1	! Confirmed by alongd
SC4H8OH-1O2	CCC(O)CO[O]	! Confirmed by alongd
SQC4H8OP	CCC(C[O])OO	! Confirmed by alongd
SQC4H8OS	CC([O])C(C)OO	! Confirmed by alongd
TQC4H7OHIQ-P	[CH2]C(C)(OO)C(O)OO	! Confirmed by alongd
IQC4H7OHT	[CH2]C(C)(O)COO	! Confirmed by alongd
C6H3	[CH]=CC#CC#C	! Confirmed by alongd
QCYC(CCOC)OH	CC1(COC1O)OO	! Confirmed by alongd
C3H6CHO-3	CCC=C[O]	! Confirmed by alongd
IC3H6OHCHO	CC(C)(O)C=O	! Confirmed by alongd
C5H9OA-BOOH-A	CCC1(COO)CO1	! Confirmed by alongd
C4H71-2OH	C=C(O)CC	! Confirmed by alongd
COHQCYC(COC)	CC1(CO1)C(O)OO	! Confirmed by alongd
C2H5CHCO	CCC=C=O	! Confirmed by alongd
PC3H4OH-2	C[C]=CO	! Confirmed by alongd
IC3H5COHQ	C=C(C)C(O)OO	! Confirmed by alongd
CCY(CCOC)OH	CC1(O)COC1	! Confirmed by alongd
TQC4H7OHIQ-I	CC(C)(OO)C([O])OO	! Confirmed by alongd
SQC4H7OHP-4	[CH2]CC(CO)OO	! Confirmed by alongd
SQC4H7OHS-4	[CH2]C(OO)C(C)O	! Confirmed by alongd
C5H9OH1-2	CCC=CCO	! Confirmed by alongd
PC3H4OH-1	CC=[C]O	! Confirmed by alongd
O2CH2OCH2O2H	[O]OCOCOO	! Confirmed by alongd
NC4KET21OH	OCC(=O)CC
C2H4COCH2OH	CC([C]=O)CO	! Confirmed by alongd
C4H63,1-2OH	[CH2]C(O)=CC	! Confirmed by alongd
C5H9O23-5	C[CH]C1CCO1	! Confirmed by alongd
PQC4H7OHS-3	C[CH]C(O)COO	! Confirmed by alongd
CCY(COCC)OH	CC1OCC1O	! Confirmed by alongd
OC5H7O	O=C[CH]CCC=O	! Confirmed by alongd
CY(CCCO)COH	OCC1CCO1	! Confirmed by alongd
C3KET13	O=CCCOO	! Confirmed by alongd
NEOC5H9Q2	[CH2]C(C)(COO)COO	! Confirmed by alongd
IC4H8OH-TI	[CH2]C(C)(C)O	! Confirmed by alongd
NEOC5H9O-OOH	CC1(COO)COC1	! Confirmed by alongd
IC5KETABO	CCC(C)([O])C=O	! Confirmed by alongd
PC4H8OH-4	[CH2]CCCO	! Confirmed by alongd
CH2CQCOHQ	C=C(OO)C(O)OO	! Confirmed by alongd
HOC3H6O2	CC(CO)O[O]	! Confirmed by alongd
C4H71-3OH	C=CC(C)O	! Confirmed by alongd
IC4H6Q2-II	C=C(COO)COO	! Confirmed by alongd
C8H131-5,3,PAO	C=CC(C)CC=CC[O]	! Confirmed by alongd
HOCH2CHO	O=CCO	! Confirmed by alongd
SQC4H7OHP-4O2	[O]OCCC(CO)OO	! Confirmed by alongd
C4H72-2OH	CC=C(C)O	! Confirmed by alongd
IQC4H7OHTO2	CC(O)(CO[O])COO	! Confirmed by alongd
PQC4H7OHS-3O2	CC(O[O])C(O)COO	! Confirmed by alongd
SQC4H7OHS-4O2	CC(O)C(CO[O])OO	! Confirmed by alongd
C6H2	C#CC#CC#C	! Confirmed by alongd
HOCH2CO	O=[C]CO	! Confirmed by alongd
NC4KET13OH-2	CC(OO)C(O)C=O	! Confirmed by alongd
NC4KET24OH-3	CC(O)C(=O)COO	! Confirmed by alongd
IQC4H7OHTQ-P	[CH2]C(O)(COO)COO	! Confirmed by alongd
NC4KET24OH-1	O=C(CO)CCOO	! Confirmed by alongd
C7H111-5,3,6P	[CH]=CCC(C)C=C	! Confirmed by alongd
CHOC(CH3)OHCH2Q	CC(O)(C=O)COO	! Confirmed by alongd
C4H6OHOOH2-2-1	CC=C(O)COO	! Confirmed by alongd
C4H6OHOOH1-3-4	C=CC(O)COO	! Confirmed by alongd
C4H6OHOOH1-4-3	C=CC(CO)OO	! Confirmed by alongd
C4H6OHOOH1-2-3	C=C(OO)C(C)O	! Confirmed by alongd
C4H6O1-3OOH4	C=CC([O])COO	! Confirmed by alongd
IQC4H8OTQ-I	CC([O])(COO)COO	! Confirmed by alongd
IC3H5Q	C=C(C)OO	! Confirmed by alongd
C5H9OH1-3	CC=CCCO	! Confirmed by alongd
C5H9OH1-1	CCCC=CO	! Confirmed by alongd

C4H63,1-3OH	[CH2]C=C(C)O	! Confirmed by alongd
CO(CH2OOH)2	O=C(COO)COO	! Confirmed by alongd

C4H6O25	C1=CCOC1	! Confirmed by alongd
C4H7O2-1,3OOH	CC(OO)C([O])COO	! Confirmed by alongd
AC4H7OOH	C=CCOOC	! Confirmed by alongd
CH2COHCH2OOH	C=C(O)COO	! Confirmed by alongd
SC3H4OH	[CH2]C(=C)O	! Confirmed by alongd
O2CCHOOJ	[O]C(=O)C(=O)O	! Confirmed by alongd
O2C4H8CHO	CC(C)(C=O)CO[O]	! Confirmed by alongd
HOCH2COCH2	[CH2]C(=O)CO	! Confirmed by alongd
TQC4H7OHTO2	CC(C)(O[O])C(O)OO	! Confirmed by alongd
O2HC4H8CO	CC(C)([C]=O)COO	! Confirmed by alongd
HOCOCQ(CH3)2	CC(C)(OO)C(=O)O	! Confirmed by alongd
NC4KET12OH	O=CC(O)CC
NC4KET23OH	CC(=O)C(O)C
C5H9O14-5	C(O1)CCC1[CH2]
C5H9O12-5	C(O1)C1CC[CH2]
C5H9O23-1	[CH2]C(O1)C1CC
H2NO		N[O]
NC4KET23OH	CC(=O)C(O)C
C2H5CHOHCO	CCC(O)=C[O]	! Confirmed by alongd
CH3COCOHCH3	CC([O])=C(C)O	! Confirmed by alongd
CH3COHCO	CC(O)=C=O	! Confirmed by alongd

C4H5C2H	C=C1C=CC=C1	! Confirmed by Anonymous
C3H2	[C]=C=C	! Confirmed by Anonymous
H2CCC(S)	[C]#C[CH2]	! Confirmed by Anonymous
C3H2(S)	[C]=C=C	! Confirmed by Anonymous
H2CC	[C]=C	! Confirmed by Anonymous
C2O	[C]#C[O]	! Confirmed by Anonymous

SC3H5OCH2-1	[CH2]OC=CC	! Confirmed by alongd

NH3	N	! Confirmed by alongd
N2H4	NN	! Confirmed by alongd
NNH	N=[N]	! Confirmed by alongd
N2H2	N=N	! Confirmed by alongd
N2O	[N+](=[N-])=O	! Confirmed by alongd
OC4H6O	O=CCCC=O	! Confirmed by alongd
OC4H5O	O=[C]CCC=O	! Confirmed by alongd
H2C4O	C=C=C=C=O	! Confirmed by alongd
HOCVCCJVO	O=[C]C=CO	! Confirmed by alongd
HOCVCCVO	O=CC=CO	! Confirmed by alongd
HCOH	[CH]O	! Confirmed by alongd
CHCHO	[CH]=C[O]	! Confirmed by alongd
N2H3	N[NH]	! Confirmed by alongd
C5H10OOH1-3OH	CCC(O)CCOO	! Confirmed by alongd
C5H10OOH2-4OH	CC(O)CC(C)OO	! Confirmed by alongd
C5H10OOH3-1OH	CCC(CCO)OO	! Confirmed by alongd
NC5DIONE13	CCC(=O)CC=O	! Confirmed by alongd
NC5DIONE24	CC(=O)CC(C)=O	! Confirmed by alongd
HCCCHCCH	[CH]=C=CC#C	! Confirmed by alongd
C5H2	[CH]=C=C=C=[CH]	! Confirmed by alongd
H2CCCCCH	C#CC#C[CH2]	! Confirmed by alongd

